stn_id,wmo_index,calendar_cnt,tmd_cnt,tmd_rain_sum,tmd_rain_sum_adjust,stn_name,province,lon,lat,dt,year,month,day
300201,48300,31,31,5,5,áÁèÎèÍ§ÊÍ¹,áÁèÎèÍ§ÊÍ¹,97.9757777778,19.2989722222,2018-01-31,2018,01,31
327202,48302,31,31,30,30,´ÍÂÍèÒ§¢Ò§,àªÕÂ§ãËÁè,99.0483333333,19.9313888889,2018-01-31,2018,01,31
303201,48303,31,31,7,7,àªÕÂ§ÃÒÂ,àªÕÂ§ÃÒÂ,99.8813888889,19.9613888889,2018-01-31,2018,01,31
303301,48304,31,31,5,5,àªÕÂ§ÃÒÂ Ê¡É.,àªÕÂ§ÃÒÂ,99.7827777778,19.8708333333,2018-01-31,2018,01,31
331402,48307,31,31,11,11,·Øè§ªéÒ§,¹èÒ¹,100.883527778,19.4119444444,2018-01-31,2018,01,31
310201,48310,31,31,8,8,¾ÐàÂÒ,¾ÐàÂÒ,99.9,19.1333333333,2018-01-31,2018,01,31
331401,48315,31,31,31,31,·èÒÇÑ§¼Ò,¹èÒ¹,100.8025,19.1105555556,2018-01-31,2018,01,31
328202,48324,31,31,8,8,à¶Ô¹,ÅÓ»Ò§,99.24475,17.6366111111,2018-01-31,2018,01,31
300202,48325,31,31,0,0,áÁèÊÐàÃÕÂ§,áÁèÎèÍ§ÊÍ¹,97.9333333333,18.1666666667,2018-01-31,2018,01,31
327501,48327,31,31,0,0,àªÕÂ§ãËÁè,àªÕÂ§ãËÁè,98.9769444444,18.79,2018-01-31,2018,01,31
328201,48328,31,29,25,27,ÅÓ»Ò§,ÅÓ»Ò§,99.5166666667,18.2833333333,2018-01-31,2018,01,31
329201,48329,31,31,0,0,ÅÓ¾Ù¹,ÅÓ¾Ù¹,99.0338888889,18.5672222222,2018-01-31,2018,01,31
330201,48330,31,31,24,24,á¾Ãè,á¾Ãè,100.166666667,18.1666666667,2018-01-31,2018,01,31
331201,48331,31,31,14,14,¹èÒ¹,¹èÒ¹,100.777777778,18.7797222222,2018-01-31,2018,01,31
331301,48333,31,31,12,12,¹èÒ¹ Ê¡É.,¹èÒ¹,100.75,18.8666666667,2018-01-31,2018,01,31
353301,48350,31,31,21,21,àÅÂ Ê¡É.,àÅÂ,101.733333333,17.4,2018-01-31,2018,01,31
351201,48351,31,31,7,7,ÍØµÃ´Ôµ¶ì,ÍØµÃ´Ôµ¶ì,100.1,17.6166666667,2018-01-31,2018,01,31
